frame,kind,x,y,ra,dec,mag
0,asteroid,12.807394808920284,166.9536398786345,132.8367412509385,11.586913014922501,18.2
0,variable,28.306996476280894,149.70160323170452,132.8343896055911,11.584349458394737,16.0
1,asteroid,52.416258787638505,188.01404643351557,132.8307328286506,11.590043520919467,18.2
1,variable,28.306996476280894,149.70160323170452,132.8343896055911,11.584349458394737,16.25980762113533
2,asteroid,92.02512276635672,209.07445298839667,132.8247242709451,11.593173903303487,18.2
2,transient,338.45080036447524,75.91403368103519,132.7873409076145,11.573385562614687,17.4
2,variable,28.306996476280894,149.70160323170452,132.8343896055911,11.584349458394737,16.25980762113533
3,asteroid,131.63398674507494,230.13485954327774,132.8187155779496,11.596304161952558,18.2
3,transient,338.45080036447524,75.91403368103519,132.7873409076145,11.573385562614687,17.4
3,variable,28.306996476280894,149.70160323170452,132.8343896055911,11.584349458394737,16.0
4,asteroid,171.24285072379317,251.1952660981588,132.8127067497917,11.599434296744676,18.2
4,transient,338.45080036447524,75.91403368103519,132.7873409076145,11.573385562614687,17.4
4,variable,28.306996476280894,149.70160323170452,132.8343896055911,11.584349458394737,15.740192378864668
5,asteroid,210.85171470251137,272.25567265303994,132.806697786599,11.60256430755785,18.2
5,transient,338.45080036447524,75.91403368103519,132.7873409076145,11.573385562614687,17.4
5,variable,28.306996476280894,149.70160323170452,132.8343896055911,11.584349458394737,15.740192378864668
